Refineria,Crudo,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cadereyta,            Pesado,79.3095589,78.5076137,84.13346269,72.5674608,84.84312164,56.47606364,28.53252462,34.59589925,47.29831816,65.65789387,77.21432022,87.82360222,102.0569385,95.75729948,101.9805333,114.5533897,100.9880034,93.75968568,99.24356788,103.3098745,100.9870359,94.96008201,87.35758658,69.27361802,68.32169159,25.80943066
Cadereyta,            Ligero,51.47653151,53.74783014,36.46363197,26.64018675,28.4212426,64.09871362,59.04466788,59.0599198,115.7849038,118.425424,117.3025582,96.78686579,90.24958299,106.4218691,108.2299694,93.79577489,115.7465578,83.13804253,71.30833596,84.35102892,87.79784075,85.76478102,71.17541159,52.7598506,58.84875281,22.44989069
Cadereyta,            Superligero,0,5.992139726,0,0,0,0,0.205657992,0,0,0,0.15141054,0.551858019,0,0,0,0,0.473096521,0,0,0,0,0,0,0,0,0
Cadereyta,            Otras corrientes a,0,0,0,0,0,0,0,0.626541087,0.250366181,1.697230997,2.680833726,2.218761478,2.307215907,1.074265753,0,0,0,0,0,0,0,0,0,0,0,0
Cadereyta,            Reconstituido,52.14465479,51.49414521,54.75203332,62.611205,62.71801907,46.72357608,22.11422083,31.50597063,37.05007785,10.22029985,11.63183058,25.37837397,0,3.921825951,0.012250266,0,0,0,0,0,0,0,0,0,0,0
Madero,            Pesado,93.00226575,84.37078082,93.3501367,73.64345141,73.96688367,57.50411542,46.31904822,45.74056808,23.62806116,40.41569561,70.98156743,101.8568261,121.8216539,126.2196011,110.4342201,119.8368311,117.0728135,100.049144,94.28979999,106.2159264,112.5208077,101.617169,122.0325872,85.23484887,44.55932614,15.83334008
Madero,            Ligero,42.77023014,40.08972877,29.54030949,25.01334809,25.97325918,55.54560885,76.42968136,70.10339843,63.40489832,59.65722244,52.58269382,30.70939309,15.90520484,18.44464625,30.97598217,32.25723254,34.48927322,26.36175042,23.11034095,21.55108886,17.24248301,9.844436225,7.384466362,2.126004585,0.022394655,0
Madero,            Superligero,0.032358904,3.998063014,0.034273973,0,0,0,0.692447679,0,0,0,0.07479026,0.393403213,0,0,0,0,0.278296512,0,0,0,0,0,0,0,0,0
Madero,            Reconstituido,37.42860274,31.28520274,37.03325384,43.98177691,37.52799071,34.51106734,26.32479018,33.41498451,18.8186568,7.932929729,17.58670053,12.30708854,4.163043444,4.678491781,0.000450392,0,0,0,0,0,0,0,0,0,0,0
Madero,            Líquidos,0.4,0.4,0.4,0.4,0.232328767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minatitlan,            Pesado,41.30826301,45.64687123,48.03675067,53.90940536,57.52018255,59.34021644,52.21016139,55.45950274,54.56189026,53.09067919,56.46109394,54.4707045,53.70096332,56.16551244,56.65565097,53.5777307,55.36726373,52.05429824,56.92546519,127.5138893,121.4763705,129.8188989,115.2811288,98.4279436,80.61444364,8.281547751
Minatitlan,            Ligero,148.4664411,147.4606877,128.7128602,122.7071057,118.0961216,121.360526,121.8164827,116.5068251,122.3882743,116.4771378,119.9388097,112.1360904,108.8529083,112.4500764,113.4022696,108.0006407,111.3771004,106.6602471,94.99978412,43.0645616,61.30879601,37.74121634,36.40252159,14.06259019,5.755076493,2.929293208
Minatitlan,            Superligero,0,0,0,0,0,0,0,0,0,0,0.222597836,0.425814306,0,0,0,0,0.368874096,0,0,0,0,0,0,0,0,0
Minatitlan,            Reconstituido,0.163884932,0.179052055,0.113858427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minatitlan,            Líquidos,24.00586575,23.5477726,14.69497534,15.4997623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salamanca,            Pesado,46.98353973,34.05777534,31.60059434,32.16087158,43.15232329,32.21859714,30.80949066,41.01969434,32.43350328,32.65336198,40.56003556,48.25341426,49.89720412,46.00284021,38.32584859,52.03852324,44.55043826,36.60753538,30.92476822,27.50230679,27.22511104,28.84009293,24.93936303,31.47214883,29.85177933,12.39641698
Salamanca,            Ligero,86.40395068,91.02640548,88.6792281,104.5797655,109.5938552,120.1698239,123.3427166,132.2083953,133.6394548,137.719921,137.9848898,148.6460911,131.4007399,130.1348629,126.1248505,124.8083125,139.0906065,147.8420758,138.3765837,150.392672,164.8303466,139.5006357,123.1156832,138.5432047,126.3847477,51.86742955
Salamanca,            Superligero,21.37272877,34.77611507,28.46546836,20.43791201,21.07900144,19.46987273,15.62740416,1.666801317,2.84449394,11.79643112,5.100001548,0.644254582,14.07816773,19.18427315,19.53664826,14.8054469,7.483907819,0.370638038,0,0,0,0,0,0,0,0
Salamanca,            Reconstituido,35.55669315,34.96392877,33.7586381,21.97796188,20.90234348,13.29185959,8.458177403,11.05552974,16.75750417,3.202127482,1.353796241,1.017731943,1.629061359,1.120270148,3.658195655,0.826162951,0.939782011,1.078180803,1.417514022,1.30761962,2.463257655,2.652035688,0.923257956,0.907531645,0.567678655,0
Salina Cruz,            Pesado,97.97633425,106.0205699,114.480591,117.5865683,99.83116438,119.2004,122.4740904,113.0115814,104.6354272,83.20805015,102.8226189,106.320532,104.9773983,91.10752718,99.78384905,86.26187821,87.05979023,91.86193146,86.70475848,83.07391285,87.48520601,86.36330508,80.28314019,70.41687633,39.72075667,20.52327161
Salina Cruz,            Ligero,211.0757945,202.8018712,189.9401798,192.2603361,181.1683507,188.1689808,186.1133343,185.2116235,182.0964518,180.9049483,194.4664342,174.2193178,186.9610768,167.0979758,135.7320773,142.4747384,154.4714622,177.4454004,192.7061901,173.6308904,194.9177499,183.2788183,159.4481968,168.2678765,97.26930908,51.06438239
Salina Cruz,            Superligero,0,0,0,0,0,0,0,0,0,0,0.365760082,0.723144454,0,0,0,0,0.632729534,0,0,0,0,0,0,0,0,0
Salina Cruz,            Reconstituido,0.346756164,0.336172603,0.235654362,0,0,0,0,0,6.049655342,42.22262103,8.553791789,6.59952668,0.761127397,31.76011066,36.01018641,50.62288223,35.0263243,0.660043422,0,0,0,0,0,0,0,0
Tula,            Pesado,83.77304932,88.52936438,76.32218994,85.20495628,92.52768493,77.05817035,79.51987305,89.802255,70.56401719,69.82055412,76.29994012,96.34162707,99.20978084,83.70071055,76.39407456,75.85097169,76.06722261,65.15864568,65.05248143,53.51605927,42.7222818,55.87047117,52.40003001,44.37002696,47.54163145,13.00142632
Tula,            Ligero,106.6090384,137.0229589,126.6170259,152.2531868,141.5351934,186.7221828,206.9840206,181.8291398,182.7483719,204.9032522,188.9896033,194.2289159,195.1220902,188.4154241,207.3866973,191.3380065,212.8287433,201.0753435,211.4412403,223.8304409,201.5369564,195.7538131,183.716805,157.1991481,167.5252013,44.49300935
Tula,            Superligero,0,0.474994521,0,0,0,0,0,0,0,0,0.372068879,0.720887128,0,0,0,0,0.614138197,0,0,0,0,0,0,0,0,0
Tula,            Reconstituido,59.15936164,60.27732877,64.51389881,59.36635711,43.42307778,31.12745493,21.00130638,24.56379636,36.94062752,5.393597205,2.161485203,0.596948536,1.305601945,0.539772652,5.147905282,0,0,0,0.143064405,0,1.561709507,3.11073789,0.041800655,0,0,0
