Refineria,Producto,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
Cadereyta,    Gas Seco a,4.792821918,4.761367123,4.729380822,4.127751366,5.276619178,4.857180822,3.277621918,3.043390164,6.116064123,5.924801921,9.200546696,9.63306215,9.794196466,9.546062649,8.732675342,10.4948524,11.85805713,5.545986181,7.254416838,9.386413396,7.898442395,7.872211455,6.898867468,5.614178686,4.767286548,1.910542679
Cadereyta,    Gas licuado,6.437512329,6.223361644,5.676241096,5.64134153,5.532268493,4.776060274,1.74790137,0.929761639,1.917568929,1.993947132,2.545525844,3.186884943,3.295822137,2.42613386,2.884700784,3.148943874,2.751435893,1.565437932,1.283519553,1.751360115,1.544251918,1.40307757,1.113346729,0.549621792,1.434312811,0.270078548
Cadereyta,            Extra/Pemex Magna b,17.16114247,28.0443726,34.44582466,37.23998361,46.30863836,48.86261644,40.18374247,34.45947667,61.89562096,70.16289955,74.52293218,70.4626046,67.0699548,70.19015642,73.95216361,73.53692533,77.34260352,65.68087251,63.32405638,70.95863769,72.64508204,68.51842762,59.83506996,44.80761971,50.6269717,20.15895989
Cadereyta,            Nova/Base c,38.36678904,25.96350137,15.89884384,8.804576503,2.089142466,0.661808219,0.630471233,0.252122077,0.301676647,0.120112323,0.024635658,0,0.705323296,5.962602595,4.136892718,3.323383631,1.91870414,0,0,0,6.87945E-06,0,0,0,0,0
Cadereyta,            Pemex Premium,0,0,0,0.299685792,0.056479452,0.10089863,0.136430137,2.77869E-05,1.78481966,4.306776523,10.22851658,11.09747558,6.012603885,6.459737408,4.501188795,6.091750934,6.032180384,2.874018362,1.644584422,1.791765902,3.095878441,4.853928244,3.247595052,0.498284087,0.458984879,0.173325184
Cadereyta,            Otras gasolinas,0.025364384,0.184293151,0.086654795,0.147945355,0.270583562,0.095457534,0.002632877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadereyta,            Turbosina,13.44723288,12.86127397,7.692073973,3.385387978,3.811736986,1.130372603,0.58860274,0,3.328664047,3.904716077,4.571322488,5.100653801,4.472539192,4.834840395,9.835383132,6.780068366,5.222382036,2.855845121,3.57903477,4.734890396,3.536844279,3.633012548,3.334776148,2.010057552,0.008389186,0
Cadereyta,            Otros querosenos,1.659610959,2.467942466,2.306065753,2.001469945,0.9878,0.235013699,0.182580822,0.228167486,0.235715247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadereyta,    Diesel,35.29989589,41.59327945,39.22176164,38.37219126,44.87701918,47.42455342,27.94630411,30.79290454,59.01035712,59.65927132,70.45122299,76.12418346,69.10106997,75.16478086,83.76984369,81.80693993,86.27225852,66.15972473,63.33835841,71.77633953,69.03152633,61.06159272,59.25193364,43.83081652,43.5014094,17.08969775
Cadereyta,    Combustóleo,67.52280274,64.5885589,64.24960822,55.22480601,61.46466575,60.37704932,38.46600274,50.3283623,65.67865041,56.46091331,44.2240809,25.30522828,21.23778377,19.56276059,8.456757929,11.47535877,8.708224701,16.2438454,11.2009691,9.91360412,13.00459726,15.24584616,11.94601372,13.00749442,13.60952838,6.011660589
